time,"Aceleração (m/s²)","Altitude (GPS) (m)","Distância percorrida (km)","Distância percorrida (total) (km)","Espaço livre no tanque de combustível (L)","Nível de combustível (%) (%)","Nível de combustível (V) (L)","Posição do pedal do acelerador D (%)","Posição do pedal do acelerador E (%)","RPM do motor (rpm)","RPM do motor x1000 (rpm)","Temperatura do líquido de 
arrefecimento do motor (℃)","Velocidade (GPS) (km/h)","Velocidade do veículo (km/h)","Velocidade média (km/h)","Velocidade média (GPS) (km/h)",Latitude,Longtitude,
19:48:50.791,,,,,,,,,,,,,0,,,0,-23.5499790171683,-46.8882007958169,
19:48:50.802,,809.886843393741,,,,,,,,,,,,,,,-23.5499790171683,-46.8882007958169,
19:48:50.808,,834.300048828125,,,,,,,,,,,0.928980088233948,,,0.0330715561705733,-23.5499790171683,-46.8882007958169,
19:48:51.758,,807.644851618022,,,,,,,,,,,,,,,-23.5499790171683,-46.8882007958169,
19:48:52.360,,834.300048828125,,,,,,,,,,,0,,,0.00797174172732676,-23.5499790171683,-46.8882007958169,
19:48:52.361,,834.300048828125,,,,,,,,,,,,,,,-23.5499118,-46.8881581,
19:48:52.377,,834.300048828125,,,,,,,,,,,0,,,0.00790732591732515,-23.5499118,-46.8881581,
19:48:52.445,,834.300048828125,,,,,,,,,,,0.632934808731079,,,0.0280043659250598,-23.5499118,-46.8881581,
19:48:53.852,,818.717971027897,,,,,,,,,,,,,,,-23.5499794465659,-46.888181519454,
19:48:53.853,,818.717971027897,,,,,,,,,,,0,,,0.0168597570234347,-23.5499794465659,-46.888181519454,
19:48:53.854,,834.300048828125,,,,,,,,,,,,,,,-23.5499794465659,-46.888181519454,
19:48:54.259,,,,,0,100,50,,,,,,,,,,-23.5499794465659,-46.888181519454,
19:48:54.450,,819.436842105837,,,,,,,,,,,,,,,-23.5499781695528,-46.8881847597658,
19:48:54.462,,,,,,,,,,,,,,0,,,-23.5499781695528,-46.8881847597658,
19:48:54.659,,,,,,,,,,0,0,,,,,,-23.5499781695528,-46.8881847597658,
19:48:54.856,,,,,,,,20,,,,,,,,,-23.5499781695528,-46.8881847597658,
19:48:55.049,,,,,,,,,9,,,,,,,,-23.5499781695528,-46.8881847597658,
19:48:55.202,,834.200012207031,,,,,,,,,,,0,,,0.012531346630368,-23.5499781695528,-46.8881847597658,
19:48:55.207,,834.200012207031,,,,,,,,,,,,,,,-23.5499306,-46.8882004,
19:48:55.208,,834.200012207031,,,,,,,,,,,0,,,0.0125159860785972,-23.5499306,-46.8882004,
19:48:55.248,,,,,,,,,,,,93,,,,,-23.5499306,-46.8882004,
19:48:55.430,,,,,0,100,50,,,,,,,,,,-23.5499306,-46.8882004,
19:48:55.462,,820.363967686923,,,,,,,,,,,,,,,-23.5499765183905,-46.8881871942029,
19:48:55.465,,820.363967686923,,,,,,,,,,,0,,,0.0118909037626962,-23.5499765183905,-46.8881871942029,
19:48:55.630,,,0,35.0416006170278,,,,,,,,,,0,,,-23.5499765183905,-46.8881871942029,
19:48:55.825,,,,,,,,,,243,0.2,,,,,,-23.5499765183905,-46.8881871942029,
19:48:56.016,,,,,,,,20,,,,,,,,,-23.5499765183905,-46.8881871942029,
19:48:56.211,,,,,,,,,9,,,,,,,,-23.5499765183905,-46.8881871942029,
19:48:56.428,,,,,0,100,50,,,,,,,,,,-23.5499765183905,-46.8881871942029,
19:48:56.474,,820.988883744841,,,,,,,,,,,,,,,-23.5499740914453,-46.8881893328888,
19:48:56.671,,,0,35.0416006170278,,,,,,,,,,0,0,,-23.5499740914453,-46.8881893328888,
19:48:56.850,,,,,,,,,,1707,1.7,,,,,,-23.5499740914453,-46.8881893328888,
19:48:57.042,,,,,,,,20,,,,,,,,,-23.5499740914453,-46.8881893328888,
19:48:57.241,,,,,,,,,9,,,,,,,,-23.5499740914453,-46.8881893328888,
19:48:57.436,,,,,,,,,,,,93,,,,,-23.5499740914453,-46.8881893328888,
19:48:57.458,,820.395003074664,,,,,,,,,,,0,,,0.00857274639399805,-23.5499740914453,-46.8881893328888,
19:48:57.484,,820.395003074664,,,,,,,,,,,,,,,-23.5499750659505,-46.8881908151953,
19:48:57.625,,,,,0,100,50,,,,,,,,,,-23.5499750659505,-46.8881908151953,
19:48:57.824,,,0,35.0416006170278,,,,,,,,,,0,0,,-23.5499750659505,-46.8881908151953,
19:48:58.001,,834.300048828125,,,,,,,,,,,,,,,-23.5499354,-46.8881988,
19:48:58.003,,834.300048828125,,,,,,,,,,,0,,,0.00796508575902454,-23.5499354,-46.8881988,
19:48:58.088,,,,,,,,,,1466,1.5,,,,,,-23.5499354,-46.8881988,
19:48:58.103,,834.300048828125,,,,,,,,,,,0.606366723775864,,,0.0156476738598633,-23.5499354,-46.8881988,
19:48:58.262,,,,,,,,20,,,,,,,,,-23.5499354,-46.8881988,
19:48:58.457,,,,,,,,,9,,,,,,,,-23.5499354,-46.8881988,
19:48:58.472,,819.811731077755,,,,,,,,,,,,,,,-23.5499759698181,-46.8881930165541,
