time,"Aceleração (m/s²)","Altitude (GPS) (m)","Distância percorrida (km)","Distância percorrida (total) (km)","Espaço livre no tanque de combustível (L)","Nível de combustível (%) (%)","Nível de combustível (V) (L)","Posição do pedal do acelerador D (%)","Posição do pedal do acelerador E (%)","RPM do motor (rpm)","RPM do motor x1000 (rpm)","Temperatura do líquido de 
arrefecimento do motor (℃)","Velocidade (GPS) (km/h)","Velocidade do veículo (km/h)","Velocidade média (km/h)","Velocidade média (GPS) (km/h)",Latitude,Longtitude,
08:10:37.120,,,,,,,,,,,,,0,,,0,-23.5562856,-46.8960979,
08:10:37.124,,811.700012207031,,,,,,,,,,,,,,,-23.5562856,-46.8960979,
08:10:37.791,,801.268465617469,,,,,,,,,,,,,,,-23.5562243915033,-46.8960838210032,
08:10:37.794,,801.268465617469,,,,,,,,,,,0,,,0,-23.5562243915033,-46.8960838210032,
08:10:37.798,,809.545637078994,,,,,,,,,,,0.795826917886734,,,0.00219830843270885,-23.5562243915033,-46.8960838210032,
08:10:38.799,,799.550657033349,,,,,,,,,,,0,,,0.00130431443379296,-23.5562243915033,-46.8960838210032,
08:10:38.800,,799.550657033349,,,,,,,,,,,,,,,-23.5562453274154,-46.8960932846167,
08:10:38.807,,809.619558357145,,,,,,,,,,,6.33141016960144,,,0.0210191020260451,-23.5562453274154,-46.8960932846167,
08:10:40.031,,799.212088212625,,,,,,,,,,,,,,,-23.5562466091477,-46.8960908790728,
08:10:40.156,,811.700012207031,,,,,,,,,,,0,,,0.0135882525981594,-23.5562466091477,-46.8960908790728,
08:10:40.157,,809.659879326776,,,,,,,,,,,3.14824347496033,,,0.0144577246315683,-23.5562466091477,-46.8960908790728,
08:10:40.381,,,,,21,58,29,,,,,,,,,,-23.5562466091477,-46.8960908790728,
08:10:40.585,,,,,,,,,,,,,,0,,,-23.5562466091477,-46.8960908790728,
08:10:40.771,,,,,,,,,,1212,1.2,,,,,,-23.5562466091477,-46.8960908790728,
08:10:40.815,,799.138889962368,,,,,,,,,,,,,,,-23.5562484413942,-46.896087779867,
08:10:40.962,,,,,,,,19,,,,,,,,,-23.5562484413942,-46.896087779867,
08:10:41.201,,,,,,,,,9,,,,,,,,-23.5562484413942,-46.896087779867,
08:10:41.401,,,,,,,,,,,,28,,,,,-23.5562484413942,-46.896087779867,
08:10:41.605,,,,,21,58,29,,,,,,,,,,-23.5562484413942,-46.896087779867,
08:10:41.802,,,0,35.0416006170278,,,,,,,,,,0,,,-23.5562484413942,-46.896087779867,
08:10:42.001,,,,,,,,,,1201,1.2,,,,,,-23.5562484413942,-46.896087779867,
08:10:42.074,,799.686855082458,,,,,,,,,,,0,,,0.00962484560684192,-23.5562484413942,-46.896087779867,
08:10:42.109,,799.686855082458,,,,,,,,,,,0,,,0.00956687423621509,-23.5562598286641,-46.8960843235453,
08:10:42.110,,809.606118076674,,,,,,,,,,,1.91469597816467,,,0.00982042669194243,-23.5562598286641,-46.8960843235453,
08:10:42.185,,,,,,,,19,,,,,,,,,-23.5562598286641,-46.8960843235453,
08:10:42.375,,,,,,,,,9,,,,,,,,-23.5562598286641,-46.8960843235453,
08:10:42.582,,,,,21,58,29,,,,,,,,,,-23.5562598286641,-46.8960843235453,
08:10:42.770,,,0,35.0416006170278,,,,,,,,,,0,0,,-23.5562598286641,-46.8960843235453,
08:10:42.965,,,,,,,,,,1195,1.2,,,,,,-23.5562598286641,-46.8960843235453,
08:10:43.099,,800.361762320608,,,,,,,,,,,,,,,-23.5562669175088,-46.8960810392177,
