time,"Aceleração (m/s²)","Ajuste de combustível % a curto 
prazo - Banco 1 (%)","Ajuste de combustível % a longo 
prazo - Banco 1 (%)","Altitude (GPS) (m)","Distância percorrida (km)","Distância percorrida (total) (km)","Espaço livre no tanque de combustível (L)","Fuel economizer (based on fuel system status and throttle position) ()","Nível de combustível (%) (%)","Nível de combustível (V) (L)","Posição absoluta da borboleta de admissão B (%)","Posição da borboleta de admissão (%)","Posição do pedal do acelerador D (%)","Posição do pedal do acelerador E (%)","Posição relativa da borboleta de admissão (%)","RPM do motor (rpm)","RPM do motor x1000 (rpm)","Temperatura do líquido de 
arrefecimento do motor (℃)","Valor da carga calculada do motor (%)","Velocidade (GPS) (km/h)","Velocidade do veículo (km/h)","Velocidade média (km/h)","Velocidade média (GPS) (km/h)","Voltagem do modulo OBD (V)",Latitude,Longtitude,
19:08:39.908,,,,809.784608155292,,,,,,,,,,,,,,,,,,,,,-23.5563435181795,-46.8960301844167,
19:08:39.909,,,,,,,,,,,,,,,,,,,,0,,,0,,-23.5563435181795,-46.8960301844167,
19:08:39.910,,,,809.784608155292,,,,,,,,,,,,,,,,,,,,,-23.5563435181795,-46.8960301844167,
19:08:40.906,,,,809.994992108248,,,,,,,,,,,,,,,,1.84522655010223,,,0.962476406114802,,-23.5563400451637,-46.8960284007695,
19:08:41.440,,,,,,,43,,14,7,,,,,,,,,,,,,,,-23.5563400451637,-46.8960284007695,
19:08:41.627,,,,,,,,,,,,,,,,,,,,,2,,,,-23.5563400451637,-46.8960284007695,
19:08:41.904,,,,,,,,,,,,,,,,981,1,,,,,,,,-23.5563400451637,-46.8960284007695,
19:08:41.907,,,,810.735925420697,,,,,,,,,,,,,,,,1.90082745552063,,,1.28520372888443,,-23.5563319428283,-46.8960235479049,
19:08:41.908,,,,810.735925420697,,,,,,,,,,,,,,,,1.90082745552063,,,1.28545528671028,,-23.5563319428283,-46.8960235479049,
19:08:41.916,,,,810.735925420697,,,,,,,,,,,,,,,,1.90082745552063,,,1.28709087958946,,-23.5563319428283,-46.8960235479049,
19:08:41.968,,,,813,,,,,,,,,,,,,,,,1.89935395717621,,,1.29790264775103,,-23.5563319428283,-46.8960235479049,
19:08:42.080,,,,,,,,,,,,,,,,,,29,,,,,,,-23.5563319428283,-46.8960235479049,
19:08:42.209,,,,812.900024414063,,,,,,,,,,,,,,,,,,,,,-23.5562971,-46.8960547,
19:08:42.211,,,,812.900024414063,,,,,,,,,,,,,,,,0,,,1.20005517453097,,-23.5562971,-46.8960547,
19:08:42.213,,,,812.900024414063,,,,,,,,,,,,,,,,0,,,1.19915100957599,,-23.5562971,-46.8960547,
19:08:42.260,,,,,,,43,,14,7,,,,,,,,,,,,,,,-23.5562971,-46.8960547,
19:08:42.478,-0.00143597200570277,,,,0.000472949388888889,35.0420735664167,,,,,,,,,,,,,,,2,,,,-23.5562971,-46.8960547,
19:08:42.657,,,,,,,,,,,,,,,,996,1,,,,,,,,-23.5562971,-46.8960547,
19:08:42.850,,,,,,,43,,14,7,,,,,,,,,,,,,,,-23.5562971,-46.8960547,
19:08:42.905,,,,810.997856742237,,,,,,,,,,,,,,,,2.01142973899841,,,1.34286535763279,,-23.5563255316777,-46.8960194365106,
19:08:42.906,,,,810.997856742237,,,,,,,,,,,,,,,,2.01142973899841,,,1.34314130069096,,-23.5563255316777,-46.8960194365106,
19:08:43.053,-0.00143323342116965,,,,0.000792441944444444,35.0423930589722,,,,,,,,,,,,,,,2,4.96157152638895,,,-23.5563255316777,-46.8960194365106,
19:08:43.246,,,,,,,,,,,,,,,,996,1,,,,,,,,-23.5563255316777,-46.8960194365106,
19:08:43.436,,,,,,,,,,,,,,,,,,29,,,,,,,-23.5563255316777,-46.8960194365106,
19:08:43.631,,,,,,,43.5,,13,6.5,,,,,,,,,,,,,,,-23.5563255316777,-46.8960194365106,
19:08:43.828,-0.00143286316422927,,,,0.00122306205555556,35.0428236790833,,,,,,,,,,,,,,,2,3.26126641938552,,,-23.5563255316777,-46.8960194365106,
19:08:43.894,,,,811.182157347559,,,,,,,,,,,,,,,,2.41286780834198,,,1.55883591902115,,-23.5563161457584,-46.8960145008953,
19:08:43.895,,,,811.182157347559,,,,,,,,,,,,,,,,2.41286780834198,,,1.55904161486576,,-23.5563161457584,-46.8960145008953,
19:08:43.933,,,,812.900024414063,,,,,,,,,,,,,,,,2.40521621704102,,,1.56554473740269,,-23.5563161457584,-46.8960145008953,
19:08:44.023,,,,,,,,,,,,,,,,988,1,,,,,,,,-23.5563161457584,-46.8960145008953,
19:08:44.213,,,,,,,43.5,,13,6.5,,,,,,,,,,,,,,,-23.5563161457584,-46.8960145008953,
19:08:44.411,0,,,,0.00154652983333333,35.0431471468611,,,,,,,,,,,,,,,2,2.88122242950666,,,-23.5563161457584,-46.8960145008953,
19:08:44.599,,,,,,,,,,,,,,,,984,1,,,,,,,,-23.5563161457584,-46.8960145008953,
19:08:44.806,,,,,,,,,,,,,,,,,,29,,,,,,,-23.5563161457584,-46.8960145008953,
19:08:44.901,,,,810.955122775555,,,,,,,,,,,,,,,,2.39915914535522,,,1.70223571519026,,-23.5563066597859,-46.8960061581248,
19:08:44.903,,,,810.955122775555,,,,,,,,,,,,,,,,2.39915914535522,,,1.70238366999933,,-23.5563066597859,-46.8960061581248,
19:08:44.905,,,,,,,,,,,,,,,,,,,,2.39915914535522,,,1.70271639766534,,-23.5563066597859,-46.8960061581248,
19:08:44.906,,,,810.955122775555,,,,,,,,,,,,,,,,,,,,,-23.5563066597859,-46.8960061581248,
19:08:44.954,,,,812.900024414063,,,,,,,,,,,,,,,,2.39921193122864,,,1.70842491467298,,-23.5563066597859,-46.8960061581248,
19:08:45.005,,,,,,,44,,12,6,,,,,,,,,,,,,,,-23.5563066597859,-46.8960061581248,
19:08:45.059,,,,,,,,,,,,,,,,,,,,0,,,1.67877871613265,,-23.5563066597859,-46.8960061581248,
19:08:45.060,,,,813,,,,,,,,,,,,,,,,0,,,1.67865635415015,,-23.5563066597859,-46.8960061581248,
19:08:45.065,,,,813,,,,,,,,,,,,,,,,2.39924240112305,,,1.67928203085803,,-23.5563066597859,-46.8960061581248,
19:08:45.199,-0.102091311105703,,,,0.00176554547222222,35.0433661625,,,,,,,,,,,,,,,1,2.33606411084504,,,-23.5563066597859,-46.8960061581248,
19:08:45.383,,,,,,,,,,,,,,,,984,1,,,,,,,,-23.5563066597859,-46.8960061581248,
19:08:45.585,,,,,,,44,,12,6,,,,,,,,,,,,,,,-23.5563066597859,-46.8960061581248,
19:08:45.771,-0.10220477071674,,,,0.00192448227777778,35.0435250993056,,,,,,,,,,,,,,,1,2.10391687383777,,,-23.5563066597859,-46.8960061581248,
19:08:45.898,,,,811.303263494761,,,,,,,,,,,,,,,,2.11981008052826,,,1.73241046774033,,-23.5563027960756,-46.8959984519539,
19:08:45.932,,,,,,,,,,,,,,,,,,,,2.11981008052826,,,1.73435734090793,,-23.5563027960756,-46.8959984519539,
19:08:45.933,,,,811.303263494761,,,,,,,,,,,,,,,,2.12791357040405,,,1.73440953100645,,-23.5563027960756,-46.8959984519539,
19:08:45.967,,,,,,,,,,,,,,,,1010,1,,,,,,,,-23.5563027960756,-46.8959984519539,
19:08:46.164,,,,,,,,,,,,,,,,,,29,,,,,,,-23.5563027960756,-46.8959984519539,
19:08:46.358,,,,,,,43,,14,7,,,,,,,,,,,,,,,-23.5563027960756,-46.8959984519539,
